	GSM8268694	GSM8268695	GSM8268696	GSM8268707	GSM8268708	GSM8268709
22934	618	785	708	361	39	940
105374853	12	10	14	4	0	7
107985911	624	771	743	357	26	1044
101926969	29	28	22	12	3	36
654342	305	360	353	168	15	446
645367	16	45	61	20	2	83
728034	191	319	190	151	9	401
107985915	28	52	41	32	2	107
64969	1971	2541	2135	1109	92	3146
84874	730	887	760	487	45	1355
7549	285	351	286	167	11	476
150696	56	53	42	62	6	155
30818	330	351	384	295	26	716
51011	695	813	804	482	54	1273
107985917	150	186	148	81	3	203
105373490	71	87	82	18	2	47
150759	400	551	656	369	39	1265
400986	684	1060	1269	580	57	2029
729234	16	17	20	27	2	69
151	14	11	7	6	0	24
1844	56	66	78	7	0	20
56910	8499	10831	9311	4395	415	11545
285033	427	437	454	249	28	737
55654	2406	3015	2586	1664	130	4061
9391	3054	3794	3475	1814	142	4967
23020	17917	22053	20003	12408	999	33613
150771	360	456	396	282	18	763
23397	4583	5526	4921	2899	252	7509
10865	254	287	315	197	15	551
55683	3456	4105	3676	2625	206	7062
90342	65	106	100	99	14	339
81562	1356	1647	1449	813	74	2201
26504	587	712	653	507	43	1322
26505	1198	1443	1260	1212	103	3302
200539	112	105	142	75	8	194
51239	269	261	273	120	13	347
54910	971	1054	917	660	54	1822
151313	109	170	132	108	3	311
375248	1122	1620	1646	732	62	2558
100506076	91	138	141	76	4	262
100506123	79	101	111	65	1	232
57730	587	819	873	388	39	1310
1329	1932	2090	1964	1396	137	4057
10120	1457	1629	1429	1146	92	3067
728537	69	112	83	71	3	214
7535	6	18	7	11	0	14
23505	4149	5263	4516	2242	189	5543
107985921	170	156	182	81	7	193
200403	24	27	33	11	0	12
3631	1730	2200	2061	1186	107	3115
493753	382	589	446	330	38	939
25972	685	898	801	542	46	1266
11320	13	19	12	16	3	54
80705	86	151	107	90	9	277
150590	22	27	26	14	1	57
51601	155	219	203	121	10	288
129531	693	860	804	500	65	1396
51263	2427	3105	2617	1178	84	3135
